brand,model,year,category,geometrygeeks_slug,in_catalog
Bianchi,Infinito XE,2023,Endurance road,bianchi-infinito-xe-2023,false
Bianchi,Aria,2021,Aero race,bianchi-aria-2021,false
Bianchi,Arcadex Comp,2025,Gravel,bianchi-arcadex-comp-2025,false
Orbea,Orca,2023,All-round race,orbea-orca-2023,true
Orbea,Orca Aero,2022,Aero race,orbea-orca-aero-2022,false
Orbea,Avant,2022,Endurance road,orbea-avant-2022,false
Orbea,Terra,2025,Gravel,orbea-terra-2025-1,false
Orbea,Terra Race,2025,Gravel,orbea-terra-race-2025,false
Merida,Scultura V Team,2022,All-round race,merida-scultura-v-team-2022,false
Merida,Reacto Team,2023,Aero race,merida-reacto-team-2023,false
Merida,Silex 700,2023,Gravel,merida-silex-700-2023,false
Lapierre,Xelius SL,2022,All-round race,lapierre-xelius-sl-2022,false
Lapierre,Aircode SL,2022,Aero race,lapierre-aircode-sl-2022,false
Lapierre,Pulsium 3.0,2024,Endurance road,lapierre-pulsium-30-2024,false
Lapierre,Crosshill CF,2025,Gravel,lapierre-crosshill-cf-2025,false
Factor,O2,2020,All-round race,factor-o2-2020,false
Factor,O2 VAM,2023,Climbing,factor-o2-vam-2023-2,false
Factor,OSTRO VAM,2021,Aero race,factor-ostro-vam-2021-2022,false
Factor,Ostro VAM v2,2024,Aero race,factor-ostro-vam-v2-2024,false
Ridley,Helium SLX Disc,2022,Climbing,ridley-helium-slx-disc-2022,false
Ridley,Noah Fast,2023,Aero race,ridley-noah-fast-2023,false
Ridley,Noah Fast 3.0,2025,Aero race,ridley-noah-fast-30-2025,false
Ridley,Fenix SLiC,2022,Endurance road,ridley-fenix-slic-2022,false
Ridley,Kanzo Fast,2021,Gravel,ridley-kanzo-fast-2021,false
Ridley,Kanzo Adventure,2024,Gravel,ridley-kanzo-adventure-2024,false
3T,Strada iCR,2022,Aero race,3t-cycling-strada-icr-2022,false
3T,Strada Italia,2024,Aero race,3t-strada-italia-2024,false
3T,RaceMax Exploro,2023,Gravel,3t-racemax-exploro-2023,false
Argon 18,Gallium CS Disc,2022,All-round race,argon-18-gallium-cs-disc-2022,false
Argon 18,Nitrogen,2022,Aero race,argon-18-nitrogen-2022,false
Argon 18,Sum Pro,2022,Endurance road,argon-18-sum-pro-2022-1,false
Look,795 BLADE RS,2023,Aero race,look-795-blade-rs-2023,false
Look,796 monoblade RS,2023,Aero race,look-796-monoblade-rs-2023-2023,false
Look,785 Huez RS,2022,Climbing,look-785-huez-rs-2022,false
Storck,Aerfast.5,2024,Aero race,storck-aerfast-5-2024,false
Storck,Fascenario.5,2024,All-round race,storck-fascenario-5-2024,false
Time,Alpe d'Huez,2022,All-round race,time-alpe-d-huez-2022,false
Time,ADHX,2024,Gravel,time-adhx-2024,false
Felt,AR,2022,Aero race,felt-ar-2022,false
Felt,FR,2024,All-round race,felt-fr-2024,false
Basso,Diamante,2023,All-round race,basso-diamante-2023,false
Basso,Venta,2022,Endurance road,basso-venta-2022,false
Basso,Astra,2023,Endurance road,basso-astra-2023,false
Cipollini,NK1K,2016,Aero race,cipollini-nk1k-2016-2017,false
Cipollini,Bond Evo,2022,All-round race,cipollini-bond-evo-2022,false
Cipollini,Dolomia,2021,Climbing,cipollini-dolomia-2021,false
Parlee,Z5,2022,All-round race,parlee-z5-2022,false
Parlee,Z4,2022,All-round race,parlee-z4-2022,false
Parlee,Altum Disc,2022,All-round race,parlee-altum-disc-2022-fitting-2020,false
Eddy Merckx,Sallanches 64,2016,Endurance road,eddy-merckx-sallanches-64-2016,false
Eddy Merckx,525,2022,All-round race,eddy-merckx-525-2022,false
Open Cycle,WIDE,2019,Gravel,open-wide-2019-2021,false
Open Cycle,WI.DE. 2.0,2026,Gravel,open-wi-de-2-0-2026,false
Open Cycle,U.P.,2021,Gravel,open-u-p-u-p-p-e-r-2015-2021,false
Open Cycle,MIND,2021,All-round race,open-mind-2020-2021,false
Passoni,Corsa,2022,All-round race,passoni-corsa-2022,false
Passoni,AT,2022,All-round race,passoni-at-2022,false
Seka,Spear,2024,All-round race,seka-spear-2024,true
Anchor,RS9s,2021,All-round race,anchor-rs9s-2021,false
Anchor,RNC7,2022,All-round race,anchor-rnc7-2022,false
Bottecchia,SP9 Supernova,2014,All-round race,bottecchia-sp9-supernova-2014,false
Bottecchia,Emme 3 Gara,2022,Aero race,bottecchia-emme-3-gara-2022,false
Yoeleo,R9,2020,All-round race,yoeleo-r9-2020,false
Yoeleo,G21,2023,Gravel,yoeleo-g21-2023,false
Niner,RLT9,2022,Gravel,niner-rlt9-2022,false
Niner,RLT,2024,Gravel,niner-rlt-2024,false
Salsa,Cutthroat,2022,Gravel,salsa-cutthroat-2022,false
Pivot,Vault,2023,Gravel,pivot-vault-2023,false
Kona,Libre,2024,Gravel,kona-libre-2024,false
